,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,462809,1,0,22,0,Healthcare,1.0,2,4.0,3,3
2,466315,0,1,67,1,Engineer,1.0,2,1.0,5,1
3,461735,1,1,67,1,Lawyer,0.0,1,2.0,5,1
5,461319,1,1,56,0,Artist,0.0,0,2.0,5,2
6,460156,1,0,32,1,Healthcare,1.0,2,3.0,5,2
7,464347,0,0,33,1,Healthcare,1.0,2,3.0,5,3
8,465015,0,1,61,1,Engineer,0.0,2,3.0,6,3
9,465176,0,1,55,1,Artist,1.0,0,4.0,5,2
10,464041,0,0,26,1,Engineer,1.0,2,3.0,5,0
11,464942,1,0,19,0,Healthcare,4.0,2,4.0,3,3
14,460849,0,1,58,0,Doctor,0.0,2,1.0,2,1
15,460563,0,0,41,0,Healthcare,1.0,2,2.0,0,2
16,466865,0,0,32,0,Homemaker,9.0,2,5.0,2,3
17,461644,1,0,31,0,Healthcare,1.0,2,6.0,5,1
18,466772,1,1,58,1,Entertainment,1.0,0,4.0,5,1
19,464291,0,1,79,1,Artist,0.0,1,1.0,5,2
20,466084,1,1,49,1,Homemaker,12.0,2,1.0,2,0
21,459675,0,0,18,0,Healthcare,3.0,2,4.0,5,3
22,465602,1,1,33,1,Artist,13.0,2,2.0,2,0
23,459168,0,0,36,1,Artist,5.0,2,2.0,5,1
25,465083,1,1,56,0,Artist,1.0,0,3.0,5,2
26,467604,1,0,31,0,Healthcare,9.0,2,8.0,3,0
27,459717,1,1,49,1,Artist,1.0,0,3.0,5,2
28,465882,1,0,35,1,Artist,0.0,2,1.0,5,1
29,461996,0,0,35,0,Artist,5.0,2,4.0,5,2
30,463331,0,1,45,1,Artist,0.0,2,3.0,5,2
31,462216,0,1,42,0,Doctor,1.0,2,2.0,3,0
32,462454,1,0,19,0,Healthcare,1.0,2,3.0,1,3
34,459861,0,1,83,0,Lawyer,1.0,1,2.0,5,3
35,467917,0,0,27,1,Healthcare,3.0,2,4.0,0,3
36,465572,1,0,32,0,Doctor,5.0,2,1.0,3,3
37,460593,0,1,28,0,Healthcare,1.0,0,5.0,2,3
38,465891,0,1,28,1,Artist,8.0,2,2.0,5,0
40,462044,0,0,47,1,Artist,4.0,2,1.0,5,1
41,465686,0,0,22,0,Healthcare,0.0,2,2.0,5,3
42,464590,0,0,27,1,Artist,14.0,2,3.0,5,0
44,466152,1,1,40,0,Engineer,8.0,2,1.0,5,0
46,465729,1,1,41,1,Artist,0.0,0,4.0,3,1
48,462442,1,0,19,0,Healthcare,0.0,2,4.0,5,3
49,464191,0,0,45,1,Engineer,1.0,2,1.0,5,0
50,462078,0,1,61,0,Artist,1.0,0,2.0,1,1
51,467873,0,1,36,1,Artist,1.0,0,2.0,5,2
52,461270,1,1,40,1,Artist,1.0,2,1.0,2,0
53,462960,0,1,57,1,Entertainment,0.0,0,2.0,5,2
54,464961,1,1,76,0,Marketing,1.0,2,1.0,3,0
55,462110,1,1,32,1,Artist,14.0,0,2.0,5,1
56,465769,1,0,25,1,Healthcare,9.0,2,4.0,5,3
58,465269,0,1,45,1,Artist,1.0,0,3.0,2,2
60,461891,1,1,48,1,Artist,0.0,0,2.0,5,2
61,466935,1,1,55,1,Artist,9.0,0,2.0,0,2
62,464091,1,1,74,1,Lawyer,0.0,1,3.0,5,3
63,464535,1,1,56,1,Lawyer,1.0,1,2.0,5,0
64,463108,1,1,59,1,Lawyer,7.0,1,2.0,5,0
65,461356,1,0,25,1,Entertainment,0.0,2,2.0,5,0
66,464570,1,1,31,1,Doctor,0.0,0,2.0,5,0
67,464580,1,0,27,0,Artist,8.0,2,4.0,5,0
68,465233,1,1,57,1,Artist,0.0,0,4.0,5,1
70,459954,1,1,27,1,Healthcare,8.0,2,2.0,5,3
71,460219,0,1,51,1,Entertainment,8.0,0,2.0,5,0
72,460877,0,1,47,0,Artist,0.0,0,5.0,5,1
73,460191,0,0,33,0,Healthcare,8.0,2,4.0,5,3
74,463742,1,1,56,1,Artist,0.0,0,4.0,5,2
75,463691,0,0,33,0,Homemaker,0.0,2,3.0,5,1
76,463250,0,0,36,1,Doctor,0.0,2,2.0,5,3
77,463952,1,1,51,0,Artist,4.0,2,3.0,3,0
78,461558,1,1,45,1,Engineer,2.0,0,2.0,5,2
80,465379,1,0,30,0,Healthcare,0.0,2,4.0,5,2
81,463814,0,0,26,0,Healthcare,6.0,2,3.0,4,3
82,466938,1,1,63,1,Artist,8.0,2,1.0,5,0
83,460671,1,1,35,0,Entertainment,8.0,0,4.0,2,1
84,462204,0,0,19,0,Marketing,1.0,2,3.0,3,0
85,461671,1,0,32,0,Healthcare,7.0,2,5.0,5,3
86,459384,1,1,52,1,Artist,0.0,0,3.0,5,2
87,459905,0,1,36,1,Artist,5.0,2,2.0,5,2
88,464734,0,0,42,0,Entertainment,7.0,2,3.0,3,3
89,464125,1,1,40,0,Doctor,0.0,0,2.0,2,3
90,467434,1,0,39,1,Entertainment,0.0,2,3.0,0,1
91,460956,0,1,47,1,Artist,1.0,0,4.0,2,2
92,465179,0,1,61,1,Artist,1.0,1,2.0,5,2
93,463338,1,1,32,0,Entertainment,1.0,2,2.0,2,3
94,467066,1,1,55,0,Artist,0.0,2,1.0,5,1
96,459976,0,0,38,1,Artist,0.0,2,1.0,5,3
97,461334,1,1,63,1,Artist,0.0,1,2.0,5,2
98,465108,1,1,58,1,Doctor,1.0,0,2.0,5,2
99,462600,1,1,30,0,Engineer,3.0,0,3.0,3,3
100,464144,1,1,60,1,Artist,0.0,0,4.0,5,2
101,466911,1,1,68,0,Executive,1.0,1,7.0,5,1
102,462806,1,1,52,0,Artist,0.0,2,3.0,3,0
103,463426,1,1,38,0,Executive,0.0,1,5.0,5,0
104,464065,0,1,35,1,Healthcare,10.0,2,2.0,5,1
105,462979,1,0,18,0,Doctor,1.0,2,2.0,5,3
106,462834,1,1,30,1,Homemaker,3.0,2,2.0,0,3
107,460764,1,0,86,0,Lawyer,1.0,2,1.0,5,3
109,460185,1,0,25,0,Healthcare,9.0,2,3.0,5,3
111,464406,0,0,39,1,Artist,0.0,2,1.0,5,0
113,462059,1,0,47,1,Artist,1.0,2,1.0,5,2
114,467905,1,1,43,1,Executive,0.0,1,3.0,5,3
115,461177,1,1,36,0,Executive,8.0,0,4.0,0,1
116,460765,1,1,80,0,Lawyer,1.0,2,1.0,5,3
117,465386,1,0,36,1,Artist,0.0,2,2.0,1,2
119,462332,0,1,37,1,Artist,1.0,1,2.0,6,0
120,464481,1,1,46,1,Executive,0.0,1,3.0,5,2
121,461011,1,1,55,0,Executive,1.0,1,4.0,2,1
122,464749,0,1,47,0,Engineer,9.0,0,4.0,3,1
123,461094,0,0,28,1,Healthcare,1.0,2,3.0,2,3
124,462104,1,1,39,0,Entertainment,9.0,2,2.0,2,3
125,464524,0,1,27,0,Marketing,1.0,2,2.0,5,0
127,461787,1,1,72,1,Artist,0.0,0,2.0,5,2
128,467857,0,1,28,1,Engineer,0.0,2,2.0,5,0
129,460153,1,0,35,1,Entertainment,8.0,2,5.0,5,2
130,465215,1,1,39,1,Executive,9.0,1,5.0,1,0
131,466746,0,1,69,1,Lawyer,0.0,1,2.0,5,2
132,464857,1,0,18,0,Healthcare,6.0,2,4.0,3,3
134,460723,0,1,50,1,Engineer,1.0,1,2.0,3,1
135,459853,1,0,30,0,Executive,5.0,2,5.0,5,0
137,460410,0,0,39,1,Artist,3.0,2,4.0,5,3
138,463823,0,0,29,0,Marketing,8.0,2,4.0,5,3
139,462008,0,1,37,1,Artist,4.0,2,4.0,4,1
140,459750,0,1,39,1,Engineer,0.0,0,2.0,5,0
141,459880,0,1,48,1,Artist,0.0,0,5.0,6,2
142,459261,0,0,32,1,Doctor,0.0,2,3.0,5,2
144,465395,0,1,43,0,Engineer,0.0,0,5.0,3,1
145,461631,1,0,29,0,Marketing,8.0,2,5.0,5,2
146,464904,0,1,28,0,Engineer,9.0,0,2.0,3,0
147,461740,1,1,80,1,Lawyer,1.0,2,1.0,5,1
148,467092,0,0,28,1,Healthcare,7.0,2,4.0,5,3
149,464173,1,1,71,1,Artist,6.0,0,3.0,5,2
150,464972,1,1,67,0,Lawyer,0.0,1,9.0,3,0
151,467959,0,0,26,0,Engineer,0.0,2,1.0,1,0
152,467688,0,1,47,1,Engineer,0.0,0,2.0,5,2
153,460043,0,1,43,1,Artist,2.0,0,2.0,5,1
154,466590,0,0,27,1,Healthcare,0.0,2,4.0,5,2
155,461191,0,1,45,1,Marketing,8.0,2,4.0,5,3
156,465662,1,1,76,0,Executive,1.0,2,1.0,5,2
157,459231,0,1,43,1,Artist,3.0,0,4.0,5,2
158,466495,0,1,78,1,Lawyer,1.0,1,2.0,5,1
159,459192,1,1,35,1,Artist,3.0,0,3.0,5,2
160,465710,0,0,49,1,Artist,1.0,2,1.0,5,2
161,460258,0,0,25,1,Healthcare,1.0,2,5.0,5,3
162,462813,1,1,37,0,Executive,0.0,0,5.0,5,0
164,467768,1,1,60,1,Doctor,0.0,0,2.0,5,2
165,465291,0,1,45,1,Artist,5.0,0,3.0,5,2
166,462996,0,1,49,1,Homemaker,9.0,0,3.0,5,2
167,463497,1,0,32,1,Artist,0.0,2,5.0,5,3
168,465301,0,1,40,1,Artist,0.0,2,3.0,2,1
169,464702,1,1,59,0,Artist,2.0,0,2.0,3,2
170,459012,1,1,48,1,Artist,3.0,2,5.0,5,1
171,465053,1,1,82,1,Executive,0.0,1,2.0,5,2
172,459420,0,1,70,1,Lawyer,0.0,2,2.0,5,1
173,464166,1,0,31,1,Artist,5.0,2,2.0,5,1
174,458987,0,1,72,1,Lawyer,0.0,1,2.0,5,2
175,467745,1,1,50,1,Artist,3.0,0,4.0,5,2
176,464866,0,0,23,0,Engineer,11.0,2,1.0,2,3
177,461081,0,0,20,0,Healthcare,2.0,2,6.0,5,3
178,467896,0,0,22,0,Healthcare,4.0,2,3.0,5,3
179,463991,0,0,31,1,Engineer,8.0,2,1.0,5,0
180,466620,0,1,36,1,Artist,7.0,0,2.0,5,2
183,460697,1,1,40,1,Artist,4.0,0,4.0,5,2
184,467934,0,0,40,1,Artist,1.0,2,1.0,5,0
187,467910,0,0,21,0,Doctor,1.0,2,3.0,6,0
188,467335,0,1,41,0,Engineer,4.0,0,2.0,5,3
189,460263,1,1,40,1,Artist,0.0,2,2.0,5,1
190,459340,1,1,53,1,Artist,1.0,0,3.0,5,1
191,465622,0,1,42,1,Artist,5.0,2,2.0,5,2
192,459395,1,1,42,0,Executive,8.0,2,2.0,5,3
194,466574,1,1,59,1,Artist,7.0,2,2.0,5,2
195,466544,1,1,41,1,Executive,1.0,0,3.0,5,0
196,463610,0,1,31,1,Artist,0.0,0,2.0,5,0
197,465539,0,1,49,1,Artist,1.0,1,5.0,5,1
198,459823,1,1,67,1,Executive,1.0,2,2.0,5,0
199,467614,1,1,35,0,Artist,4.0,0,2.0,5,1
200,459073,0,0,26,1,Healthcare,0.0,2,3.0,5,2
202,464863,0,1,25,0,Engineer,6.0,0,8.0,3,3
203,460022,0,1,39,1,Healthcare,4.0,2,2.0,5,0
204,459929,1,1,63,1,Entertainment,0.0,2,2.0,5,0
205,466613,1,0,23,0,Healthcare,8.0,2,3.0,5,3
206,461149,0,0,23,0,Healthcare,0.0,2,3.0,2,3
207,466068,0,1,53,1,Artist,2.0,2,1.0,5,2
208,461513,1,0,33,1,Doctor,0.0,2,2.0,5,1
210,466236,0,1,69,1,Engineer,0.0,2,2.0,3,1
211,459664,1,0,37,1,Artist,2.0,2,1.0,5,1
212,461967,0,0,20,0,Marketing,3.0,2,4.0,6,2
214,461710,0,1,49,1,Doctor,1.0,0,4.0,5,2
215,462742,1,0,18,0,Healthcare,0.0,2,3.0,2,3
216,459528,0,1,52,1,Doctor,0.0,0,2.0,5,2
221,467515,1,1,28,1,Engineer,0.0,0,2.0,5,0
222,463429,0,0,28,1,Artist,7.0,2,3.0,5,0
223,464024,1,0,20,0,Healthcare,0.0,2,5.0,6,3
224,460691,0,0,27,0,Homemaker,8.0,2,1.0,2,3
226,467271,1,1,45,1,Artist,4.0,0,4.0,5,1
227,465634,1,0,25,1,Healthcare,1.0,2,4.0,3,1
228,464801,1,0,40,0,Marketing,1.0,2,1.0,3,3
232,462036,0,1,67,1,Lawyer,0.0,1,2.0,5,1
234,460448,0,0,38,1,Artist,9.0,2,1.0,2,0
235,464464,1,0,28,0,Healthcare,0.0,2,4.0,1,2
236,462410,0,0,32,0,Healthcare,1.0,2,5.0,6,1
238,459756,0,1,56,0,Lawyer,1.0,1,4.0,3,1
239,463789,0,1,53,1,Artist,1.0,2,2.0,5,2
240,466947,1,1,57,0,Executive,1.0,1,5.0,5,2
241,464150,0,1,59,1,Artist,0.0,0,3.0,5,2
242,465693,0,1,25,1,Healthcare,1.0,1,4.0,3,0
243,461670,1,1,59,1,Artist,0.0,0,6.0,5,2
244,466768,0,1,36,1,Artist,0.0,2,4.0,5,2
245,461550,1,1,37,1,Entertainment,7.0,2,2.0,5,0
246,462438,1,0,22,0,Doctor,1.0,2,3.0,1,3
247,460704,1,1,43,1,Artist,1.0,2,2.0,5,1
248,464884,1,1,41,1,Artist,1.0,2,2.0,3,0
249,467050,0,0,21,0,Engineer,0.0,2,5.0,1,1
251,466176,1,0,38,1,Doctor,8.0,2,1.0,1,1
253,467773,1,1,70,1,Lawyer,1.0,1,3.0,5,2
254,465425,0,0,31,0,Engineer,1.0,2,4.0,5,1
255,462318,0,1,82,0,Lawyer,0.0,0,2.0,5,0
258,460197,1,0,38,1,Artist,8.0,2,3.0,1,0
259,459375,1,1,18,0,Executive,0.0,1,4.0,5,0
260,463862,1,1,50,1,Artist,6.0,0,3.0,5,2
262,462721,0,1,72,0,Lawyer,1.0,1,3.0,5,3
264,465809,0,0,25,0,Homemaker,1.0,2,7.0,3,1
265,466915,0,1,75,0,Entertainment,2.0,1,2.0,1,3
266,467343,1,0,72,1,Artist,1.0,2,1.0,5,1
267,466268,0,1,72,1,Artist,0.0,0,3.0,3,2
268,464868,1,1,36,1,Entertainment,6.0,2,6.0,3,0
269,464038,1,1,40,1,Artist,1.0,2,2.0,5,0
270,460176,0,0,28,1,Entertainment,0.0,2,4.0,5,2
271,462161,0,0,28,1,Doctor,0.0,2,3.0,5,3
273,464893,1,1,43,1,Artist,0.0,2,2.0,3,1
274,464443,0,1,35,1,Artist,1.0,0,2.0,5,1
275,467619,1,1,65,1,Lawyer,1.0,1,2.0,5,1
276,465974,1,1,52,1,Executive,7.0,1,4.0,3,2
277,462075,0,0,40,1,Artist,1.0,2,1.0,5,1
278,459494,0,1,69,0,Engineer,9.0,2,3.0,5,0
279,466921,0,0,22,0,Healthcare,3.0,2,3.0,5,3
280,463544,1,1,47,1,Executive,1.0,0,4.0,5,2
281,461167,1,1,29,1,Marketing,1.0,1,2.0,2,0
282,467364,1,1,46,1,Artist,1.0,0,3.0,2,2
283,462408,1,0,32,1,Artist,1.0,2,2.0,5,0
284,466224,0,0,38,1,Healthcare,0.0,2,1.0,1,2
285,465151,1,1,59,1,Artist,0.0,2,1.0,5,1
286,467216,0,0,26,1,Entertainment,1.0,2,1.0,5,3
287,460586,1,0,26,1,Healthcare,1.0,2,2.0,2,0
288,461197,1,0,28,0,Marketing,0.0,2,1.0,2,3
289,462776,0,1,53,1,Engineer,1.0,0,3.0,5,2
291,464088,1,0,27,0,Doctor,1.0,2,3.0,5,3
293,464695,1,0,26,0,Engineer,0.0,2,4.0,3,3
294,462331,0,0,31,0,Entertainment,0.0,2,2.0,5,3
295,466523,1,1,39,1,Executive,1.0,1,3.0,2,1
296,465337,0,1,43,0,Engineer,1.0,2,3.0,6,0
297,460834,1,1,25,0,Doctor,1.0,2,2.0,0,0
298,466824,1,1,40,1,Artist,3.0,1,3.0,5,0
299,461607,0,1,40,1,Entertainment,7.0,0,2.0,2,1
302,466999,1,0,27,1,Healthcare,1.0,2,3.0,5,3
303,466597,0,0,19,0,Healthcare,1.0,2,2.0,5,3
304,464075,0,1,86,1,Lawyer,0.0,1,2.0,5,1
306,462163,0,1,27,1,Artist,4.0,0,2.0,2,2
307,463895,0,1,70,0,Doctor,0.0,0,2.0,5,1
308,464767,0,1,53,0,Engineer,8.0,0,4.0,3,1
313,463738,1,1,43,0,Executive,0.0,1,4.0,5,0
314,465967,1,1,36,0,Doctor,6.0,2,3.0,5,0
315,462260,1,1,74,1,Lawyer,0.0,2,2.0,5,2
316,467234,0,0,30,0,Homemaker,0.0,2,4.0,5,3
317,466573,0,0,37,1,Artist,5.0,2,2.0,5,1
318,463229,0,0,22,0,Marketing,0.0,2,1.0,4,1
319,459768,1,0,19,0,Healthcare,0.0,2,4.0,5,3
320,462541,1,1,70,1,Engineer,4.0,1,2.0,5,1
321,467714,1,1,89,1,Lawyer,13.0,2,1.0,5,0
323,459474,1,0,25,1,Doctor,6.0,2,1.0,1,3
324,460093,0,0,45,1,Artist,4.0,2,1.0,2,0
325,467865,0,0,35,1,Artist,3.0,2,1.0,3,0
326,465758,0,1,37,0,Engineer,7.0,2,1.0,3,3
327,464184,0,1,39,0,Engineer,4.0,0,2.0,5,1
328,462618,0,0,32,1,Healthcare,1.0,2,5.0,3,3
329,464226,0,1,62,1,Artist,2.0,0,3.0,5,2
330,465432,0,1,58,1,Engineer,0.0,0,4.0,3,1
332,466627,1,0,25,0,Healthcare,0.0,2,5.0,5,2
333,467380,0,1,56,1,Artist,0.0,0,4.0,5,2
334,465842,0,0,36,1,Entertainment,10.0,2,2.0,5,0
335,464622,0,0,30,0,Healthcare,8.0,2,3.0,5,0
336,462083,1,0,19,0,Healthcare,1.0,2,5.0,5,3
337,460910,1,0,27,1,Healthcare,0.0,2,2.0,5,0
338,460255,0,0,38,1,Doctor,14.0,2,1.0,5,0
339,460109,1,1,46,1,Artist,8.0,0,2.0,5,2
340,464306,1,0,29,1,Artist,3.0,2,1.0,5,1
341,466835,1,1,51,0,Entertainment,1.0,0,4.0,6,1
342,465192,1,1,55,0,Artist,0.0,2,1.0,5,0
343,463380,0,1,69,1,Engineer,1.0,2,1.0,2,0
344,462391,0,0,26,0,Healthcare,1.0,2,8.0,6,2
345,467086,0,1,83,1,Lawyer,0.0,2,3.0,5,0
346,460306,0,0,39,1,Healthcare,9.0,2,1.0,5,3
347,460752,1,1,35,1,Artist,9.0,2,1.0,5,0
348,467264,1,1,19,0,Marketing,2.0,1,5.0,5,2
353,466258,0,0,29,0,Healthcare,1.0,2,3.0,5,1
354,463719,0,0,26,0,Doctor,0.0,2,1.0,5,3
355,460032,1,0,36,1,Engineer,8.0,2,1.0,5,0
356,465175,0,0,22,0,Homemaker,0.0,2,4.0,5,3
357,466610,1,0,19,0,Marketing,0.0,2,5.0,5,0
358,459036,0,1,20,1,Lawyer,1.0,0,3.0,2,0
359,464047,1,0,43,1,Healthcare,3.0,2,3.0,5,3
361,459997,1,0,43,1,Entertainment,1.0,2,2.0,3,0
362,463382,0,1,50,1,Engineer,4.0,1,3.0,5,1
363,460967,1,0,25,1,Entertainment,1.0,2,2.0,5,0
364,465094,1,1,61,0,Artist,1.0,1,2.0,5,1
365,461229,0,1,28,1,Healthcare,0.0,0,2.0,5,0
366,466442,1,0,38,1,Artist,1.0,2,1.0,5,3
367,464527,1,0,25,0,Executive,12.0,2,3.0,5,0
368,463560,0,0,18,0,Healthcare,9.0,2,5.0,3,3
369,460011,1,1,43,1,Entertainment,1.0,0,5.0,4,2
370,467207,0,0,27,1,Artist,8.0,2,1.0,5,1
371,465177,0,0,60,1,Entertainment,1.0,2,2.0,5,3
372,467531,1,1,75,1,Lawyer,2.0,2,1.0,5,3
374,462842,1,0,23,0,Doctor,6.0,2,4.0,1,3
375,462124,1,0,36,1,Artist,8.0,2,1.0,5,0
376,466265,1,0,30,0,Doctor,1.0,2,1.0,2,2
377,459789,1,1,56,0,Artist,1.0,0,2.0,5,2
378,464223,0,1,52,1,Artist,2.0,2,2.0,5,2
379,460280,1,1,39,1,Entertainment,0.0,2,1.0,5,3
380,460331,0,0,35,0,Artist,5.0,2,1.0,5,0
381,461494,1,1,33,0,Engineer,0.0,0,2.0,5,1
382,460035,0,0,25,1,Artist,0.0,2,6.0,5,0
383,463812,0,1,27,1,Artist,0.0,0,2.0,3,1
384,465569,1,1,35,1,Artist,1.0,1,3.0,5,0
385,466333,0,1,41,1,Artist,1.0,0,2.0,5,2
387,462723,0,1,46,0,Artist,8.0,0,2.0,5,1
390,462404,0,0,26,1,Artist,9.0,2,1.0,5,0
391,461799,1,1,43,1,Doctor,13.0,1,2.0,5,1
392,459933,0,1,30,1,Artist,8.0,2,4.0,5,0
393,463717,0,1,70,1,Artist,1.0,0,4.0,5,2
395,462149,0,1,89,0,Lawyer,3.0,1,1.0,5,3
396,462769,0,1,42,0,Homemaker,6.0,1,4.0,5,1
397,465532,0,1,37,1,Entertainment,6.0,0,3.0,3,0
398,462829,1,1,29,0,Executive,1.0,0,3.0,5,3
399,459210,0,1,68,1,Artist,1.0,1,2.0,5,2
400,464659,0,0,25,0,Engineer,1.0,2,1.0,3,3
402,467759,0,1,48,1,Doctor,0.0,2,2.0,5,2
403,461475,0,1,51,1,Doctor,1.0,0,3.0,0,2
404,462714,0,1,40,1,Engineer,1.0,1,5.0,1,1
405,466890,1,1,47,1,Artist,0.0,0,6.0,6,1
407,467479,1,1,35,1,Executive,1.0,0,4.0,5,2
408,466799,0,0,19,0,Healthcare,2.0,2,3.0,5,3
410,460873,1,1,46,1,Entertainment,0.0,0,3.0,3,1
411,466776,1,1,86,1,Lawyer,0.0,2,1.0,5,1
412,459462,1,1,66,1,Artist,0.0,1,2.0,5,1
413,465727,1,0,42,0,Marketing,1.0,2,5.0,3,3
414,462348,0,1,73,1,Lawyer,1.0,1,2.0,5,1
415,460941,1,1,72,0,Engineer,1.0,2,1.0,5,0
416,461629,1,1,53,1,Artist,0.0,2,3.0,5,1
417,459907,0,1,39,1,Artist,8.0,0,2.0,5,2
418,467146,0,0,27,0,Homemaker,9.0,2,1.0,5,3
420,459196,0,0,23,0,Healthcare,1.0,2,3.0,3,3
421,465444,0,0,30,1,Entertainment,0.0,2,4.0,5,1
422,464186,0,1,39,1,Artist,5.0,0,2.0,5,2
423,466412,1,1,26,1,Artist,1.0,0,3.0,5,1
424,459480,0,1,50,1,Entertainment,7.0,2,3.0,5,0
425,467880,0,1,45,1,Artist,1.0,0,2.0,5,2
426,460216,0,0,62,0,Entertainment,2.0,2,1.0,5,0
427,467941,0,0,27,1,Doctor,1.0,2,3.0,5,0
429,462572,0,1,30,0,Engineer,1.0,0,7.0,3,0
430,467443,1,0,32,0,Healthcare,7.0,2,4.0,2,0
432,459701,1,0,47,0,Artist,3.0,2,3.0,4,1
433,461139,0,0,32,1,Artist,4.0,2,4.0,1,0
434,461115,0,1,32,0,Engineer,5.0,2,3.0,0,0
435,459027,1,1,67,1,Doctor,1.0,0,4.0,5,1
436,467340,0,1,77,1,Lawyer,0.0,1,2.0,5,2
438,460857,1,0,31,0,Entertainment,1.0,2,1.0,3,0
439,464300,1,1,42,1,Artist,0.0,2,3.0,3,0
441,463287,1,1,50,1,Artist,1.0,0,4.0,1,2
442,461392,1,1,71,1,Artist,0.0,0,5.0,5,2
443,461546,0,1,72,0,Lawyer,1.0,2,3.0,5,0
445,462130,1,1,45,1,Artist,9.0,0,2.0,5,2
446,464684,0,0,40,0,Engineer,9.0,2,5.0,3,0
447,462276,0,0,36,1,Engineer,4.0,2,1.0,5,0
449,462417,1,0,30,0,Healthcare,4.0,2,4.0,5,3
450,466463,0,0,29,1,Healthcare,2.0,2,4.0,3,1
451,464736,1,0,28,1,Engineer,0.0,2,5.0,3,3
